Entry Point,Month,Value,Year,Category,Region,Conservation Area,Visitors,Metric,English_Year,Group,Count,Type,Hotel_Type,Hotel_Count,Bed_Count,Types of Course,Details,Third Country,Indian,% Change,Gender,Age_Group,Total,Nationality,Percent
,,17783,2002,Official,,,,,,,,,,,,,,,,,,,,,
,,0,2002,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,58907,2002,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2002,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,97904,2003,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,65721,2003,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,19387,2003,Business,,,,,,,,,,,,,,,,,,,,,
,,21395,2003,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,21967,2003,Official,,,,,,,,,,,,,,,,,,,,,
,,0,2003,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,111758,2003,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2003,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,167262,2004,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,69442,2004,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,13948,2004,Business,,,,,,,,,,,,,,,,,,,,,
,,45664,2004,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,17088,2004,Official,,,,,,,,,,,,,,,,,,,,,
,,0,2004,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,71893,2004,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2004,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,160259,2005,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,61488,2005,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,21992,2005,Business,,,,,,,,,,,,,,,,,,,,,
,,47621,2005,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,16859,2005,Official,,,,,,,,,,,,,,,,,,,,,
,,0,2005,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,67179,2005,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2005,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,145802,2006,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,66931,2006,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,21066,2006,Business,,,,,,,,,,,,,,,,,,,,,
,,59298,2006,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,18063,2006,Official,,,,,,,,,,,,,,,,,,,,,
,,0,2006,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,72766,2006,Others,,,,,,,,,,,,,,,,,,,,,
,,0,2006,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,217815,2007,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,101320,2007,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,24487,2007,Business,,,,,,,,,,,,,,,,,,,,,
,,52594,2007,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,21670,2007,Official,,,,,,,,,,,,,,,,,,,,,
,,8019,2007,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,78644,2007,Others,,,,,,,,,,,,,,,,,,,,,
,,22156,2007,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,148180,2008,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,104822,2008,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,23039,2008,Business,,,,,,,,,,,,,,,,,,,,,
,,45091,2008,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,43044,2008,Official,,,,,,,,,,,,,,,,,,,,,
,,6938,2008,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,99634,2008,Others,,,,,,,,,,,,,,,,,,,,,
,,29529,2008,Not Specified,,,,,,,,,,,,,,,,,,,,,
,,140992,2009,Holiday Pleasure,,,,,,,,,,,,,,,,,,,,,
,,132929,2009,Trekking & Mountaineering,,,,,,,,,,,,,,,,,,,,,
,,22758,2009,Business,,,,,,,,,,,,,,,,,,,,,
,,51542,2009,Pilgrimage,,,,,,,,,,,,,,,,,,,,,
,,24518,2009,Official,,,,,,,,,,,,,,,,,,,,,
,,9985,2009,Conv./ Conf.,,,,,,,,,,,,,,,,,,,,,
,,87134,2009,Others,,,,,,,,,,,,,,,,,,,,,
